职位名称,地区,薪水,工作年限,学历,能力要求,公司名字,公司标签,福利待遇,详情链接
web 前端工程师,深圳·龙华区·民治,8-11K,1-3年,本科,",JavaScript,CSS,Vue,小程序",互真创,",计算机软件,0-20人",
前端开发工程师,深圳·南山区·科技园,12-18K,1-3年,大专,",前端开发,CSS,JavaScript,React,Web端,HTML",PKFARE比客,",旅游,A轮,100-499人",定期体检，五险一金，餐补，节日福利，零食下午茶，员工旅游，带薪年假
前端开发工程师,深圳,12-24K·16薪,1-3年,学历不限,",前端开发",赚动科技,",互联网,不需要融资,100-499人",五险一金，年终奖，零食下午茶，节日福利，员工旅游，带薪年假，交通补助
前端开发工程师,深圳·南山区·大学城,15-20K,3-5年,本科,",React,CSS,JavaScript,HTML",UBTECH,",互联网,B轮,1000-9999人",餐补，定期体检，年终奖，五险一金，员工旅游，加班补助，节日福利，通讯补贴，带薪年假
前端开发工程师,深圳·南山区·科技园,20-30K,5-10年,本科,",前端开发,全栈开发,Node.js,WEB开发,CSS,HTML5,JavaScript,Vue",元空间技术开发有...,",移动互联网,100-499人",员工旅游，定期体检，加班补助，带薪年假，五险一金，股票期权，年终奖，节日福利，零食下午茶
前端开发工程师,深圳·龙岗区·坂田,12-24K·14薪,经验不限,本科,",JavaScript,计算机/软件工程相关专业",华为云计算,",计算机服务,不需要融资,10000人以上",意外险，绩效奖金，团建聚餐，零食下午茶，免费班车，带薪年假，保底工资，节假日加班费，定期体检，加班补助，年终奖，员工旅游，法定节假日三薪，交通补助，补充医疗保险，夜班补助，五险一金
前端开发工程师,深圳·福田区·梅林,12-16K,3-5年,本科,",Vue,jQuery",中软国际,",计算机软件,已上市,10000人以上",员工旅游，定期体检，五险一金，零食下午茶，餐补，加班补助，免费班车，节日福利，年终奖，带薪年假
软件测试工程师,深圳·龙岗区·华为坂田基地,15-30K,1-3年,本科,",测试,测试工程师,软件测试,云计算,性能测试",华为技术有限公司,",计算机软件,不需要融资,10000人以上",交通补助，员工旅游，股票期权，离职补偿，年终奖，免费班车，加班补助，定期体检，节日福利，全勤奖，通讯补贴，零食下午茶，住房补贴，补充医疗保险，五险一金，餐补，带薪年假
软件测试工程师,深圳·南山区·前海,12-20K,5-10年,本科,",测试工程师,性能测试,接口测试,MySQL,自动化测试,Python,SaaS,小程序测试",配配车,",互联网,A轮,20-99人",五险一金，带薪年假，年终奖，员工旅游，节日福利，加班补助，零食下午茶
软件测试工程师,深圳·光明区·公明,13-16K·15薪,经验不限,本科,",测试工程师,软件测试,嵌入式技术",迈瑞医疗,",医疗设备/器械,已上市,10000人以上",五险一金，加班补助，餐补，节日福利，定期体检，年终奖，带薪年假，免费班车，员工旅游，住房补贴，交通补助，补充医疗保险
软件测试工程师,深圳·南山区·海岸城,10-15K,3-5年,本科,",测试工程师,软件测试,Monkey,自动化测试,测试开发,功能测试,APP测试,Android测试",海信集团,",通信/网络设备,未融资,10000人以上",免费班车，交通补助，定期体检，零食下午茶，带薪年假，五险一金，餐补，年终奖，节日福利，股票期权
